dtheta0,Nx,Ny,EIL2,delta,Energy
16.56614030023818,-80.9986600016004,29.479404521063966,1.0,1.0,56.13396157806774
16.557513280316286,-80.85578158892739,29.86905725905705,1.0,1.0,56.13397068122857
16.548881765998964,-80.71290317625437,30.25301737592878,1.0,1.0,56.13397980849029
16.540245749964857,-80.57002476358136,30.631498913220945,1.0,1.0,56.13398895614974
16.531605224914475,-80.42714635090834,31.004702482999317,1.0,1.0,56.13399812088187
16.522960183573776,-80.28426793823535,31.37281642211667,1.0,1.0,56.13400729992578
16.514310618644675,-80.14138952556233,31.736017820673034,1.0,1.0,56.13401649063184
16.505656522853744,-79.99851111288933,32.09447344367974,1.0,1.0,56.1340256908184
16.496997888890764,-79.85563270021632,32.44834055658477,1.0,1.0,56.1340348982699
16.4883347095023,-79.7127542875433,32.797767669459304,1.0,1.0,56.13404411133345
16.47966697737419,-79.56987587487029,33.142895204706996,1.0,1.0,56.13405332829269
16.470994685224206,-79.42699746219728,33.48385610419764,1.0,1.0,56.13406254774563
16.46231782572861,-79.28411904952428,33.820776375959966,1.0,1.0,56.13407176829295
16.45363639158854,-79.14124063685126,34.153775592845854,1.0,1.0,56.13408098882338
16.444950375474857,-78.99836222417827,34.482967344166994,1.0,1.0,56.13409020825219
16.436259770035583,-78.85548381150525,34.80845964790678,1.0,1.0,56.13409942553119
16.42756456793206,-78.71260539883224,35.130355328249834,1.0,1.0,56.13410863981604
16.418864761800094,-78.56972698615922,35.44875235877832,1.0,1.0,56.134117850318674
16.410160344256433,-78.42684857348621,35.76374417829055,1.0,1.0,56.13412705626375
16.401451307910992,-78.28397016081321,36.075419980487986,1.0,1.0,56.13413625701594
16.392737645353915,-78.1410917481402,36.38386498003508,1.0,1.0,56.134145451935005
16.38401934916765,-77.99821333546718,36.68916065772344,1.0,1.0,56.13415464049241
16.375296411904785,-77.85533492279419,36.99138498604567,1.0,1.0,56.13416382212384
16.366568826107024,-77.71245651012117,37.290612638237356,1.0,1.0,56.134172996367425
16.357836584303243,-77.56957809744816,37.586915181069116,1.0,1.0,56.134182162786004
16.34909967900483,-77.42669968477514,37.880361253597655,1.0,1.0,56.134191320992386
16.340358102707338,-77.28382127210214,38.171016732617645,1.0,1.0,56.13420047064313
16.33161184786875,-77.14094285942913,38.458944886298205,1.0,1.0,56.13420961130146
16.322860906954755,-76.99806444675612,38.74420651749026,1.0,1.0,56.134218742721764
16.314105272406348,-76.85518603408312,39.02686009656077,1.0,1.0,56.13422786461545
16.305344936632512,-76.7123076214101,39.30696188487435,1.0,1.0,56.13423697667667
16.2965798920372,-76.56942920873709,39.58456605089726,1.0,1.0,56.1342460786657
16.287810130998025,-76.42655079606408,39.85972477770131,1.0,1.0,56.13425517033632
16.27903564587665,-76.28367238339108,40.132488363829665,1.0,1.0,56.13426425147508
16.270256429015134,-76.14079397071806,40.40290531769319,1.0,1.0,56.13427332189318
16.26147247273408,-75.99791555804505,40.67102244582349,1.0,1.0,56.13428238137501
16.252683769336205,-75.85503714537205,40.93688493565382,1.0,1.0,56.13429142975654
16.24389031110425,-75.71215873269904,41.20053643315555,1.0,1.0,56.13430046687407
16.23509209029643,-75.56928032002602,41.462019115736794,1.0,1.0,56.13430949255027
16.226289099158457,-75.42640190735301,41.72137376098894,1.0,1.0,56.134318506664364
16.217481329915394,-75.28352349468001,41.978639810938496,1.0,1.0,56.1343275090958
16.20866877475953,-75.140645082007,42.233855432715586,1.0,1.0,56.13433649967195
16.199851425874456,-74.99776666933398,42.48705757595754,1.0,1.0,56.13434547828835
16.19102927542303,-74.85488825666098,42.738282026623224,1.0,1.0,56.134354444848434
16.182202315539257,-74.71200984398797,42.98756345778181,1.0,1.0,56.13436339922995
16.1733705383451,-74.56913143131496,43.23493547787864,1.0,1.0,56.13437234134564
16.164533935934518,-74.42625301864194,43.480430675923,1.0,1.0,56.134381271085516
16.155692500381743,-74.28337460596893,43.724080664596094,1.0,1.0,56.134390188364
16.14684622374591,-74.14049619329593,43.96591612085974,1.0,1.0,56.13439909311626
16.13799509805454,-73.99761778062292,44.205966824349225,1.0,1.0,56.134407985237196
16.129139115323074,-73.85473936794992,44.44426169401137,1.0,1.0,56.134416864670825
16.120278267538158,-73.7118609552769,44.6808288224973,1.0,1.0,56.13442573133513
16.111412546670643,-73.56898254260389,44.915695509139624,1.0,1.0,56.134434585183186
16.102541944664676,-73.42610412993088,45.14888829101498,1.0,1.0,56.13444342612979
16.093666453445028,-73.28322571725786,45.38043297254032,1.0,1.0,56.13445225412893
16.08478606491412,-73.14034730458486,45.61035465363035,1.0,1.0,56.134461069119475
16.07590077095082,-72.99746889191185,45.83867775640929,1.0,1.0,56.13446987104603
16.067010563410673,-72.85459047923884,46.065426050710016,1.0,1.0,56.13447865984141
16.058115434135296,-72.71171206656584,46.2906226783285,1.0,1.0,56.134487435492986
16.049215374932484,-72.56883365389282,46.51429017598633,1.0,1.0,56.13449619792995
16.040310377594373,-72.42595524121981,46.73645049747875,1.0,1.0,56.13450494711112
16.03140043389137,-72.2830768285468,46.957125034601226,1.0,1.0,56.13451368301265
16.022485535564073,-72.1401984158738,47.176334637124015,1.0,1.0,56.13452240556956
16.013565674334686,-71.99732000320078,47.39409963195942,1.0,1.0,56.13453111474989
16.004640841906877,-71.85444159052777,47.61043984143856,1.0,1.0,56.13453981053301
15.995711029954805,-71.71156317785477,47.82537460065661,1.0,1.0,56.134548492873144
15.986776230128692,-71.56868476518176,48.03892277417865,1.0,1.0,56.13455716173254
15.977836434064013,-71.42580635250874,48.25110277204114,1.0,1.0,56.134565817097396
