EIL2,delta,Energy,Nx,Ny,dtheta0
1.0,0.0001,0.004450942444153507,-39.423554167689566,6.269168476057795e-10,0.1335215335442642
1.0,0.0076371859296482415,0.3017338763116277,-39.63053023771935,-3.8628444965522764e-13,1.099877922287257
1.0,0.015174371859296482,0.6008661770732121,-39.77947084709091,-4.1037946293647874e-13,1.5528436678713724
1.0,0.022711557788944722,0.9001276315796127,-39.93317539529467,2.5469511225561344e-14,1.9015151096887462
1.0,0.030248743718592964,1.2022507821445096,-40.08519371767273,3.3558856644006265e-12,2.198636798154906
1.0,0.03778592964824121,1.5042249851875809,-40.24021554700699,-7.707006964175031e-13,2.460501423739815
1.0,0.04532311557788945,1.8075824115976322,-40.39634027836031,7.480912700722797e-13,2.6985390478372073
1.0,0.05286030150753769,2.112183505501166,-40.55376318237943,2.1453539420745226e-13,2.9184971445413037
1.0,0.06039748743718593,2.4172581938190585,-40.713067551951845,-1.212752405107956e-11,3.123714056646949
1.0,0.06793467336683418,2.724464183783061,-40.87313046515989,-1.5619912396566484e-11,3.3179264152563377
1.0,0.07547185929648241,3.032834532186395,-41.034636921142585,-1.8702186661497376e-11,3.5024227202279787
1.0,0.08300904522613066,3.3423930972347864,-41.1976077293829,-1.5363938426117586e-11,3.6786843918466388
1.0,0.0905462311557789,3.6531624293510525,-41.36205610990346,-1.160719108123419e-11,3.847861068843952
1.0,0.09808341708542714,3.9651605921845996,-41.52799841352412,-1.3660272666982104e-11,4.010864382217794
1.0,0.10562060301507538,4.278403214680748,-41.6954529491973,-1.6612883922292888e-11,4.16843199898178
1.0,0.11315778894472363,4.592904569829546,-41.864439336106216,-1.6370265991867673e-11,4.321170993026118
1.0,0.12069497487437186,4.908678165638718,-42.03497815801324,-1.4341247645189299e-11,4.469588190912031
1.0,0.12823216080402008,5.225737086021153,-42.20709077051223,-1.8213206777484322e-11,4.6141119952976055
1.0,0.13576934673366833,5.544094196405544,-42.380799190811764,-1.8020135957364107e-11,4.755108449187095
1.0,0.14330653266331658,5.86376227263231,-42.55612603317594,-1.8619451586832864e-11,4.892893300346213
1.0,0.1508437185929648,6.184754084812459,-42.73309447232262,-1.7954848032252942e-11,5.027741221780323
1.0,0.15838090452261305,6.507082453717015,-42.91172822269353,-1.9800682212896636e-11,5.159892968076001
1.0,0.1659180904522613,6.830760289953367,-43.092051529017695,-2.032600298699329e-11,5.289561006317947
1.0,0.17345527638190955,7.155800622217814,-43.27408916330855,-1.893956283167628e-11,5.416934001428017
1.0,0.18099246231155777,7.482216618170136,-43.45786642681404,-2.138775501093797e-11,5.542180428606186
1.0,0.18852964824120602,7.810021600550044,-43.64340915530406,-2.084756067068308e-11,5.665451512086565
1.0,0.19606683417085427,8.139229060007143,-43.83074372642981,-2.1777565197364374e-11,5.786883637703589
1.0,0.2036040201005025,8.469852665609508,-44.01989706934537,-2.206803189503484e-11,5.906600350050386
1.0,0.21114120603015074,8.801906273865441,-44.21089667532523,-2.4882574754227362e-11,6.024714018513087
1.0,0.218678391959799,9.135403936551763,-44.403770609830616,-2.507477491107548e-11,6.141327236863724
1.0,0.22621557788944724,9.470359907847772,-44.5985475253008,-2.4510623577065454e-11,6.2565340067875335
1.0,0.23375276381909546,9.806788650901046,-44.79525667498478,-2.6599204689033912e-11,6.370420744752053
1.0,0.2412899497487437,10.144704844028299,-44.99392792742082,-2.3620401938201767e-11,6.483067143442175
1.0,0.24882713567839196,10.484123386672902,-45.19459178162704,-2.647973687685207e-11,6.594546912666528
1.0,0.2563643216080402,10.825059405228492,-45.397279383018976,-2.8217531199743267e-11,6.704928419750885
1.0,0.26390150753768843,11.167528258719798,-45.60202253999476,-2.8624258840330822e-11,6.814275245606828
1.0,0.2714386934673367,11.511545544541422,-45.80885374105379,-2.7352869180083045e-11,6.922646669711149
1.0,0.2789758793969849,11.857127104093179,-46.01780617268212,-2.9586058519903705e-11,7.030098094796462
1.0,0.2865130653266332,12.204289028551537,-46.22891373782843,-3.231640591754072e-11,7.136681420219632
1.0,0.2940502512562814,12.553047664641236,-46.442211075018704,-3.109828481271931e-11,7.242445371396828
1.0,0.3015874371859296,12.903419620510698,-46.65773357820737,-3.159252807795857e-11,7.347435791501501
1.0,0.30912462311557787,13.255421771717733,-46.87551741724008,-3.2212170975823195e-11,7.451695900606001
1.0,0.3166618090452261,13.60907126731502,-47.09559955908666,-3.2351707603864446e-11,7.555266526619696
1.0,0.32419899497487437,13.964385536074525,-47.31801778973853,-3.685141484777111e-11,7.6581863117284525
1.0,0.3317361809045226,14.32138229285398,-47.54281073692492,-3.501948399980503e-11,7.760491897461914
1.0,0.33927336683417086,14.680079545103554,-47.770017893540135,-3.7194855568830246e-11,7.862218091056963
1.0,0.3468105527638191,15.040495599547565,-47.999679641899995,-4.0529022980303226e-11,7.96339801541748
1.0,0.3543477386934673,15.402649069020358,-48.23183727885903,-4.0882591625377464e-11,8.064063244624503
1.0,0.36188492462311556,15.7665588794996,-48.46653304172921,-4.2083985961671487e-11,8.164243926703882
1.0,0.3694221105527638,16.13224427730883,-48.70381013514938,-4.069481396213793e-11,8.263968895105771
1.0,0.37695929648241205,16.499724836527733,-48.94371275884113,-4.147627219670381e-11,8.36326577017828
1.0,0.3844964824120603,16.86902046660209,-49.18628613636717,-4.4682700524322773e-11,8.462161051738898
1.0,0.39203366834170855,17.240151420167148,-49.43157654486144,-4.383084505769371e-11,8.56068020371276
1.0,0.3995708542713568,17.61313830109449,-49.67963134580873,-4.694180582145635e-11,8.658847731683728
1.0,0.407108040201005,17.988002072760974,-49.93049901692975,-4.861296792846177e-11,8.75668725410221
1.0,0.41464522613065324,18.364764066570103,-50.18422918516377,-4.788924978037011e-11,8.854221567807604
1.0,0.4221824120603015,18.743445990707936,-50.44087266083666,-4.9606475860945794e-11,8.951472708438907
1.0,0.42971959798994974,19.124069939165516,-50.70048147306774,-5.622973541371591e-11,9.048462006247071
1.0,0.437256783919598,19.50665840102464,-50.96310890641849,-5.3449267628164696e-11,9.145210137765526
1.0,0.44479396984924624,19.89123427002068,-51.22880953887879,-5.7124736492096376e-11,9.241737173736528
1.0,0.4523311557788945,20.27782085439301,-51.49763928124262,-5.423850960555318e-11,9.33806262365572
1.0,0.4598683417085427,20.666441887036918,-51.76965541790736,-5.966957747491467e-11,9.434205477259635
1.0,0.46740552763819093,21.057121535957695,-52.04491664918365,-6.08425352875458e-11,9.53018424323425
1.0,0.4749427135678392,21.449884415054672,-52.32348313514806,-7.199763715085175e-11,9.626016985413713
1.0,0.48247989949748743,21.844755595231316,-52.60541654115294,-7.027908043518807e-11,9.721721356690933
1.0,0.4900170854271357,22.24176061585284,-52.89078008501038,-6.291499830380555e-11,9.817314630855021
1.0,0.49755427135678393,22.640925496565337,-53.17963858595909,-6.529102291049856e-11,9.912813732541613
1.0,0.5050914572864321,23.042276749481296,-53.47205851549,-6.815900028439497e-11,10.008235265466165
1.0,0.5126286432160804,23.445841391757526,-53.76810805008128,-7.032149627901583e-11,10.103595539098553
1.0,0.5201658291457286,23.851646958569276,-54.06785712596397,-8.183080911257746e-11,10.198910593912071
1.0,0.5277030150753769,24.259721516505092,-54.371377495998615,-8.16758258007742e-11,10.294196225344177
1.0,0.5352402010050251,24.670093677390902,-54.67874278872895,-8.152371018921885e-11,10.38946800657627
1.0,0.5427773869346734,25.082792612564724,-54.99002856975611,-8.537219498609568e-11,10.484741310245974
1.0,0.5503145728643216,25.49784806761932,-55.30531240549697,-8.316874121449202e-11,10.580031329188435
1.0,0.5578517587939699,25.91529037762914,-55.62467392945911,-8.955386777876783e-11,10.675353096292532
1.0,0.5653889447236181,26.335150482880714,-55.948194911145876,-8.656537070161185e-11,10.77072150355998
1.0,0.5729261306532664,26.75745994513041,-56.27595932768493,-1.0223124820986582e-10,10.866151320439538
1.0,0.5804633165829146,27.182250964405025,-56.60805343835384,-9.530949033660617e-11,10.961657211514064
1.0,0.5880005025125629,27.609556396369097,-56.944565862095395,-9.916793100930067e-11,11.057253753592777
1.0,0.595537688442211,28.039409770285726,-57.2855876581682,-1.0198886498873735e-10,11.152955452285815
1.0,0.6030748743718592,28.471845307587913,-57.63121241011696,-1.1403768182277085e-10,11.248776758106946
1.0,0.6106120603015075,28.9068979410916,-57.98153631315087,-1.1480857539502313e-10,11.344732082161238
1.0,0.6181492462311557,29.344603334872737,-58.33665826517296,-1.3480672424787182e-10,11.44083581146939
1.0,0.625686432160804,29.78499790483749,-58.69667996155792,-1.3319608468579157e-10,11.537102323974695
1.0,0.6332236180904522,30.228118840015178,-59.06170599392411,-1.2139395090658395e-10,11.633546003277717
1.0,0.6407608040201005,30.674004124602455,-59.43184395302911,-1.2642384939689827e-10,11.730181253138262
